WKT;project_id;name;city;energy;type_solar_id;status_project_id;developer_id;wind_model_id
POINT (2.83959445812082 42.8053476322799);216;2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.84089793192998 42.8073036664538);217;2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.8396487989956 42.8030159002786);218;"2s agricoles PV
Arboriculture et fruits rouges";NULL;SOLAR;2;NULL;;NULL
POINT (2.84378511750217 42.8007385467534);219;"2s agricoles PV
Arboriculture et fruits rouges";NULL;SOLAR;2;NULL;;NULL
POINT (2.39798420760217 43.3075286144197);220;Limousis-Rouyre;NULL;SOLAR;1;NULL;62;NULL
POINT (2.17572250875915 42.9223471088473);221;Fa-Bouisset;NULL;SOLAR;1;NULL;62;NULL
POINT (2.63991363907972 43.2174909405229);222;La 2;NULL;SOLAR;1;NULL;62;NULL
POINT (2.39798420760217 43.3075286144199);223;Limousis-Rouyre;NULL;SOLAR;1;NULL;62;NULL
POINT (2.63826052805792 43.2134183030007);224;La 2;NULL;SOLAR;1;NULL;62;NULL
POINT (2.66220654380307 43.2074773311102);225;Caneles;NULL;SOLAR;1;NULL;62;NULL
POINT (2.64779562163688 43.1931670296264);226;Moux-AxPrax;NULL;SOLAR;1;NULL;62;NULL
POINT (0.652383897619624 42.9221253598259);227;Marignac_01;NULL;SOLAR;1;NULL;198;NULL
POINT (2.67858726788604 43.1886390598375);228;Montbrun-Enertrag;NULL;SOLAR;1;NULL;63;NULL
POINT (1.18697724369896 44.0737429961246);229;Les_Barthes_La_Rovajole_01;NULL;SOLAR;1;NULL;63;NULL
POINT (0.35834725868231 43.1385010117742);230;LAGRANGE_ET_HOUEYDETS_02;NULL;SOLAR;1;NULL;199;NULL
POINT (0.357563541084539 43.1360446077615);231;LAGRANGE_ET_HOUEYDETS_01;NULL;SOLAR;1;NULL;199;NULL
POINT (0.510020449066073 43.1688243939805);232;Lecussan_02;NULL;SOLAR;1;NULL;199;NULL
POINT (1.25568225312906 43.3598155481078);233;Noe_Bourdasse_01;NULL;SOLAR;1;NULL;199;NULL
POINT (6.47588727127818 43.5767332494335);234;"1AIRED024-
FIGANIERES 2";NULL;SOLAR;1;NULL;64;NULL
POINT (3.61930066155301 43.483841026787);235;domaine des capitelles;NULL;SOLAR;1;NULL;64;NULL
POINT (2.98048825407897 45.1475258119255);236;Les Martines;NULL;SOLAR;NULL;NULL;64;NULL
